entity,ref_distribution,std_ref,avg_ref
http://www.wikidata.org/entity/Q100309406,"[2, 10]",4.0,6.0
http://www.wikidata.org/entity/Q1003131,"[48, 15, 6]",18.05547008526779,23.0
http://www.wikidata.org/entity/Q100418,"[2, 2]",0.0,2.0
http://www.wikidata.org/entity/Q100355757,"[2, 3, 1]",0.816496580927726,2.0
http://www.wikidata.org/entity/Q100248,"[2, 2, 12, 1]",4.493050188902857,4.25
http://www.wikidata.org/entity/Q100709157,"[1]",0.0,1.0
http://www.wikidata.org/entity/Q100493654,"[318, 263]",27.5,290.5
http://www.wikidata.org/entity/Q100274852,"[3, 1, 2, 32, 38]",16.28987415543779,15.2
http://www.wikidata.org/entity/Q100728,"[4, 12, 1]",4.642796092394707,5.666666666666667
http://www.wikidata.org/entity/Q1004929,"[1, 9, 8, 2, 7, 1, 24, 8, 1, 11, 14]",6.644453350771491,7.818181818181818
http://www.wikidata.org/entity/Q1014946,"[10]",0.0,10.0
http://www.wikidata.org/entity/Q100318,"[2, 2, 10, 4, 1, 2, 8, 3, 2, 5, 7, 5, 2, 6]",2.6234810960295656,4.214285714285714
http://www.wikidata.org/entity/Q1009641,"[1, 2, 2, 4, 2, 2, 16, 1, 4, 4, 1, 2, 4, 3, 1, 4]",3.477045261425281,3.3125
http://www.wikidata.org/entity/Q1011110,"[1, 1, 2, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2]",1.08240363688233,1.4615384615384615
http://www.wikidata.org/entity/Q1017721,"[3, 3, 14, 15, 14, 12, 3]",5.383269623261935,9.142857142857142
http://www.wikidata.org/entity/Q1019107,"[1, 3, 7, 35, 34, 2]",14.851112939963643,13.666666666666666
http://www.wikidata.org/entity/Q10220,"[2, 1, 2, 1, 1, 5]",1.4142135623730951,2.0
http://www.wikidata.org/entity/Q10052,"[2, 2, 4, 2, 1, 1, 5, 8, 2, 1, 1, 4, 9, 1, 5, 1, 2, 1, 4]",2.3502224801859057,2.9473684210526314
http://www.wikidata.org/entity/Q1020499,"[3, 9, 3, 3, 1, 1, 2, 3, 2]",2.260776661041756,3.0
http://www.wikidata.org/entity/Q1023323,"[2, 2, 1, 1]",0.5,1.5
http://www.wikidata.org/entity/Q1022248,"[5, 12, 71, 8, 9, 67, 6, 11]",26.305595887567346,23.625
http://www.wikidata.org/entity/Q102231027,"[9, 34, 15, 13, 24, 24, 24]",7.907630001770313,20.428571428571427
http://www.wikidata.org/entity/Q10045,"[3, 1, 2, 4, 5, 3, 1, 1, 4, 5, 1, 3, 1, 2, 8, 4, 1, 3, 2, 4]",1.786057109949175,2.9
http://www.wikidata.org/entity/Q1026417,"[2, 1, 36, 2, 1, 5, 9, 8, 9, 2, 5, 1, 3, 7]",8.674675786448736,6.5
http://www.wikidata.org/entity/Q10277408,"[4, 2, 1, 8]",2.680951323690902,3.75
http://www.wikidata.org/entity/Q10264925,"[9, 2, 47, 72, 6, 1, 5, 3, 2, 5, 30, 4, 5, 1, 5, 8]",19.33655459873863,12.8125
http://www.wikidata.org/entity/Q10253316,"[3, 1, 7, 8, 2, 18, 7, 2, 1, 18, 1, 1, 3, 1, 2, 3, 4, 87, 1, 17, 2, 2, 2, 5, 1, 1]",16.67510634441751,7.6923076923076925
http://www.wikidata.org/entity/Q1028165,"[1, 2, 5, 9]",3.112474899497183,4.25
http://www.wikidata.org/entity/Q10086,"[11, 3, 11, 5, 8, 1, 4, 2, 2, 5, 35, 166, 13, 5, 7, 121, 2, 3, 11, 1, 5, 1, 15, 1, 5, 2, 1, 5, 7, 1, 6, 2, 2, 1, 1, 3, 2, 1, 3, 1, 2, 9, 16, 6, 27, 136, 5, 4, 1, 77, 21, 8, 5, 6, 1, 2, 1]",32.25671305462376,14.175438596491228
http://www.wikidata.org/entity/Q1029260,"[3, 13, 1, 3]",4.69041575982343,5.0
http://www.wikidata.org/entity/Q103013,"[3, 4, 19, 2, 19, 5, 2]",7.205440121667709,7.714285714285714
http://www.wikidata.org/entity/Q103028,"[3, 33, 4, 2, 5]",11.84229707446997,9.4
http://www.wikidata.org/entity/Q103057,"[7, 6, 34, 3]",12.5,12.5
